,popE18,popE10,pop_perc_change,popC10,under5,under8,over65,female,white,black,am_indian,asian,pacific,two_race,hispanic,white_nothisp,vets,foreign,housing_units,own_rate,median_own,median_w,median_wo,median_rent,building_permits,households,pphouseholds,samehouse,non_English,wcomputer,winternet,hs_grads,coll_grads,disability,wo_healthins,perc_labor,perc_labor_f,acc_and_food,health_revenue,man_shipment,wholesale_sales,retail_sales,retail_sales_pc,travel_time,income,income_pc,poverty,employer_est,employment,payroll,employment_ch,non_employment_est,firms,mfirms,ffirms,minfirms,nonfirms,vetfirms,nonvfirms,pop_sqmi,land_sqmi,FIPS
"New Hanover County, North Carolina","232,274","202,683",0.146,"202,667",0.049,0.184,0.177,0.523,0.819,0.137,0.006,0.016,0.001,0.021,0.056,0.774,"15,221",0.05,"113,215",0.574,225600,1498,506,938,"1,918","91,673",2.32,0.817,0.065,0.897,0.815,0.923,0.389,0.087,0.123,0.633,0.598,"623,342","1,277,398","2,449,546","1,189,386","3,871,707",18504,20.4,51457,31708,0.155,"7,275","95,838","4,046,228",0.056,"19,879","24,939","13,879","8,044","2,873","21,115","2,542","20,861","1,058.10",191.53,"""37129"""
"Nash County, North Carolina","94,016","95,829",-0.019,"95,840",0.055,0.219,0.185,0.521,0.549,0.41,0.01,0.01,0.001,0.019,0.071,0.494,"6,610",0.043,"43,143",0.653,123100,1179,400,734,196,"36,878",2.5,0.87,0.067,0.799,0.687,0.851,0.203,0.112,0.123,0.61,0.579,"166,687","349,427","3,184,367","2,693,864","1,234,476",12898,21.9,46187,25232,0.158,"2,028","36,538","1,355,050",0.002,"5,979","7,041","3,613","2,562","2,498","4,239",757,"5,775",177.3,540.41,"""37127"""
"Columbus County, North Carolina","55,655","58,110",-0.042,"58,098",0.052,0.209,0.201,0.505,0.632,0.305,0.037,0.006,0.001,0.019,0.055,0.593,"3,489",0.032,"26,362",0.709,85200,1032,380,607,47,"22,462",2.39,0.874,0.06,0.712,0.576,0.806,0.125,0.145,0.148,0.483,0.473,"52,247","246,501","900,932","295,184","553,126",9597,26.4,36261,21849,0.231,990,"11,463","398,581",0.046,"3,251","4,395","2,596","1,294",823,"3,388",502,"3,573",62,937.29,"""37047"""
"Carteret County, North Carolina","69,524","66,463",0.046,"66,469",0.041,0.176,0.25,0.51,0.9,0.058,0.006,0.013,0.002,0.022,0.043,0.865,"8,273",0.035,"50,725",0.727,197700,1368,421,864,378,"30,000",2.25,0.848,0.058,0.889,0.794,0.908,0.267,0.149,0.127,0.568,0.532,"164,400","283,725","343,677","85,729","972,796",14384,23.2,51584,30903,0.133,"1,931","18,618","584,751",0.001,"6,358","7,585","4,138","2,293",403,"6,869","1,134","5,810",131.3,506.25,"""37031"""
"Brunswick County, North Carolina","136,744","107,429",0.273,"107,431",0.039,0.153,0.315,0.522,0.863,0.103,0.008,0.008,0.001,0.017,0.049,0.821,"13,320",0.042,"92,264",0.772,194700,1338,436,883,"2,926","53,104",2.29,0.838,0.052,0.892,0.776,0.891,0.28,0.123,0.135,0.509,0.471,"180,820","326,561","1,982,957","237,118","1,125,773",10029,24.2,51164,29707,0.119,"2,448","25,315","898,249",0.027,"10,722","10,065","5,793","3,259","1,172","8,681","1,534","7,882",126.8,846.97,"""37019"""
"Beaufort County, North Carolina","47,079","47,768",-0.014,"47,759",0.048,0.201,0.24,0.522,0.717,0.251,0.011,0.005,0.001,0.015,0.08,0.657,"3,153",0.036,"26,265",0.708,123600,1219,460,691,140,"18,978",2.47,0.944,0.061,0.742,0.608,0.859,0.196,0.128,0.139,0.542,0.51,"50,147","186,547","1,462,057","360,748","548,353",11543,25.1,41101,24657,0.22,"1,099","13,552","461,788",0.001,"3,214","4,088","2,225","1,299",920,"3,044",454,"3,277",57.7,827.19,"""37013"""
"Craven County, North Carolina","102,912","103,503",-0.006,"103,505",0.063,0.216,0.19,0.494,0.717,0.215,0.007,0.031,0.002,0.029,0.074,0.657,"11,930",0.048,"47,450",0.633,156500,1262,417,871,330,"40,571",2.42,0.795,0.084,0.878,0.784,0.877,0.243,0.129,0.116,0.531,0.529,,"715,386","1,261,429",,"1,213,554",11583,21.6,49391,26830,0.163,"2,100","28,007","1,059,110",0.027,"5,967","6,409","2,912","2,680","1,153","4,952",779,"5,173",146,708.96,"""37049"""
"Chowan County, North Carolina","14,029","14,793",-0.052,"14,793",0.047,0.202,0.246,0.524,0.626,0.345,0.004,0.008,0.002,0.014,0.037,0.599,"1,337",0.03,"7,306",0.73,128300,1189,451,737,20,"5,903",2.39,0.912,0.025,0.779,0.638,0.839,0.19,0.097,0.119,0.528,0.46,"19,059","94,052","451,182","196,743","119,177",8068,28.2,41979,23542,0.176,349,"3,751","127,924",0.029,988,"1,459",768,464,182,"1,216",244,"1,117",85.8,172.47,"""37041"""
"Camden County, North Carolina","10,710","9,980",0.073,"9,980",0.053,0.228,0.163,0.502,0.825,0.12,0.006,0.022,0.001,0.027,0.03,0.803,"1,212",0.032,"4,303",0.801,222500,1701,392,1122,81,"3,796",2.71,0.906,0.052,0.875,0.796,0.853,0.181,0.091,0.119,0.61,0.541,"1,540","1,437",,"4,108","24,903",2468,33.7,68327,27468,0.08,121,622,"15,993",0.174,700,742,485,191,113,618,249,469,41.5,240.56,"""37029"""
"Bertie County, North Carolina","19,026","21,275",-0.106,"21,282",0.043,0.176,0.23,0.495,0.361,0.612,0.007,0.008,0.001,0.012,0.022,0.347,"1,196",0.012,"9,870",0.736,78900,1045,373,644,11,"7,988",2.32,0.89,0.039,0.667,0.52,0.761,0.123,0.139,0.132,0.502,0.486,"6,481","63,446",,"145,604","95,917",4644,24.8,31287,18319,0.272,303,"4,473","124,881",-0.084,896,"1,390",837,472,486,851,153,"1,172",30.4,699.27,"""37015"""
"Pender County, North Carolina","62,162","52,198",0.191,"52,217",0.057,0.222,0.18,0.501,0.812,0.151,0.009,0.007,0.001,0.021,0.074,0.752,"4,663",0.042,"29,625",0.791,167200,1316,381,828,532,"21,053",2.68,0.868,0.073,0.858,0.709,0.868,0.256,0.123,0.137,0.583,0.546,"50,456","97,306","191,360","179,439","386,690",7135,28.9,49357,25997,0.126,"1,016","8,388","257,394",-0.004,"4,438","4,448","2,442","1,580",676,"3,644",360,"3,900",60,869.8,"""37141"""
"Onslow County, North Carolina","197,683","177,799",0.112,"177,772",0.088,0.245,0.092,0.448,0.762,0.159,0.009,0.022,0.003,0.045,0.128,0.659,"23,695",0.04,"80,259",0.525,154400,1256,379,987,"1,036","63,093",2.73,0.716,0.101,0.917,0.833,0.914,0.202,0.135,0.088,0.463,0.546,"353,051","491,728","270,979","139,069","2,213,042",12076,21.4,48162,23141,0.135,"2,752","35,716","994,488",0.006,"10,201","10,610","5,499","3,798","1,660","8,636","1,513","8,386",233.1,762.74,"""37133"""
"Jones County, North Carolina","9,637","10,167",-0.052,"10,153",0.049,0.185,0.226,0.51,0.664,0.301,0.01,0.005,,0.019,0.051,0.621,818,0.029,"5,002",0.725,92700,1067,342,621,22,"4,148",2.33,0.908,0.045,0.729,0.555,0.818,0.142,0.183,0.156,0.541,0.484,,"47,658",,,"33,706",3280,27.4,37256,21058,0.223,128,835,"24,689",0.028,565,824,416,329,142,664,78,696,21.6,470.71,"""37103"""
"Hyde County, North Carolina","5,230","5,817",-0.101,"5,810",0.039,0.168,0.207,0.453,0.676,0.29,0.008,0.008,,0.017,0.092,0.599,178,0.045,"3,408",0.763,81000,1062,401,839,11,"1,835",2.63,0.893,0.108,0.724,0.475,0.794,0.072,0.106,0.157,0.509,0.55,,,,"84,767","30,415",5191,24.7,40532,19181,0.219,157,812,"25,250",0.055,572,581,326,87,46,502,,522,9.5,612.7,"""37095"""
"Hertford County, North Carolina","23,659","24,677",-0.041,"24,669",0.046,0.189,0.198,0.509,0.356,0.61,0.013,0.008,0.001,0.013,0.038,0.33,"1,196",0.035,"10,657",0.672,86800,984,406,709,,"8,880",2.41,0.85,0.055,0.731,0.568,0.8,0.153,0.144,0.119,0.506,0.554,"29,002","155,755",,"38,670","254,917",10431,24.2,35806,18383,0.244,476,"7,494","257,309",0.031,"1,044","1,120",590,379,549,488,89,943,69.9,353.06,"""37091"""
"Gates County, North Carolina","11,573","12,184",-0.05,"12,197",0.046,0.203,0.202,0.505,0.655,0.312,0.006,0.004,0.001,0.022,0.023,0.638,745,0.011,"5,443",0.804,142500,1303,422,798,46,"4,439",2.6,0.939,0.027,0.77,0.636,0.86,0.157,0.142,0.117,0.582,0.538,,"7,008",,"22,996","43,630",3676,36.5,52481,24335,0.157,121,845,"22,705",0.185,526,471,307,105,160,279,50,389,35.8,340.45,"""37073"""
"Dare County, North Carolina","36,501","33,920",0.076,"33,920",0.045,0.189,0.214,0.507,0.94,0.027,0.006,0.008,0.001,0.019,0.073,0.875,"2,966",0.051,"35,012",0.694,285000,1692,518,1056,337,"15,264",2.31,0.853,0.066,0.928,0.848,0.932,0.298,0.099,0.13,0.664,0.627,,,"47,840",,"863,879",24987,20.2,55640,30898,0.094,"1,878","14,227","488,529",0.041,"5,306","6,113","3,284","1,501",362,"5,575",467,"5,282",88.5,383.42,"""37055"""
"Currituck County, North Carolina","27,072","23,547",0.15,"23,547",0.057,0.224,0.162,0.505,0.906,0.058,0.007,0.007,0.001,0.021,0.04,0.873,"2,903",0.026,"16,051",0.825,244500,1569,439,947,425,"9,766",2.57,0.886,0.036,0.897,0.801,0.876,0.229,0.111,0.128,0.629,0.572,,"17,955",,"58,697","275,248",11432,37.2,65758,29340,0.107,631,"4,413","151,065",-0.107,"2,166","2,426","1,429",604,117,"2,266",328,"1,908",89.9,261.85,"""37053"""
"Pitt County, North Carolina","179,914","168,167",0.07,"168,148",0.057,0.213,0.132,0.53,0.593,0.357,0.005,0.022,0.002,0.021,0.063,0.543,"10,016",0.047,"80,265",0.523,138700,1285,435,761,"1,150","68,805",2.47,0.779,0.07,0.863,0.759,0.893,0.309,0.085,0.108,0.643,0.615,"357,637","1,879,971","2,160,814","1,028,697","2,354,799",13647,20.6,43526,25462,0.217,"3,593","61,227","2,334,899",0.015,"10,573","13,055","6,426","4,782","3,786","8,742","1,245","11,023",257.9,651.98,"""37147"""
"Perquimans County, North Carolina","13,422","13,453",-0.002,"13,453",0.045,0.183,0.268,0.519,0.741,0.23,0.006,0.005,,0.017,0.026,0.722,"1,453",0.025,"7,188",0.728,165500,1239,456,824,38,"5,882",2.28,0.922,0.031,0.801,0.672,0.864,0.197,0.111,0.124,0.508,0.483,"8,590","8,933",,"36,791","66,360",4893,29.6,44039,25848,0.18,200,"1,325","43,159",0.04,944,"1,128",706,339,162,934,72,"1,006",54.4,247.09,"""37143"""
"Pasquotank County, North Carolina","39,639","40,661",-0.025,"40,661",0.062,0.223,0.169,0.511,0.586,0.365,0.006,0.016,0.001,0.026,0.057,0.545,"3,877",0.04,"17,254",0.605,158900,1342,454,859,136,"14,629",2.54,0.867,0.063,0.812,0.692,0.862,0.204,0.107,0.122,0.555,0.524,"76,883","225,144",,"176,254","698,264",17202,28.3,47264,23714,0.202,915,"11,235","392,859",0.037,"2,697","3,040","1,646","1,129",934,"1,952",502,"2,352",179.2,226.88,"""37139"""
"Pamlico County, North Carolina","12,670","13,143",-0.036,"13,144",0.035,0.148,0.298,0.494,0.776,0.192,0.008,0.006,0.002,0.017,0.041,0.743,"1,535",0.025,"7,784",0.749,150600,1166,397,716,37,"5,395",2.25,0.852,0.051,0.83,0.683,0.86,0.194,0.127,0.127,0.495,0.488,,"42,983",,,"100,096",7656,28.4,45211,25461,0.174,263,"2,670","75,424",-0.009,987,"1,015",615,295,190,765,137,826,39.1,336.54,"""37137"""
"Northampton County, North Carolina","19,676","22,106",-0.11,"22,099",0.046,0.174,0.259,0.512,0.402,0.575,0.006,0.003,,0.013,0.023,0.389,"1,342",0.015,"11,695",0.692,81900,1000,414,694,23,"8,819",2.22,0.88,0.025,0.68,0.528,0.781,0.128,0.164,0.115,0.463,0.442,"4,602","26,442","246,437",,"131,215",6124,25.6,33508,19126,0.243,258,"4,213","141,404",0.022,839,"1,090",628,412,479,582,237,815,41.2,536.59,"""37131"""
"Martin County, North Carolina","22,671","24,515",-0.075,"24,505",0.054,0.202,0.231,0.53,0.552,0.423,0.005,0.006,0.002,0.013,0.042,0.521,"1,288",0.022,"11,574",0.689,83100,1002,422,637,22,"9,624",2.4,0.932,0.04,0.742,0.575,0.834,0.158,0.123,0.109,0.542,0.504,"25,715","95,297","557,413","77,265","249,138",10398,24,35969,22161,0.205,432,"5,299","140,797",0.036,"1,249","1,535",890,429,531,902,174,"1,293",53.1,461.22,"""37117"""
"Washington County, North Carolina","11,859","13,209",-0.102,"13,228",0.052,0.2,0.244,0.525,0.48,0.488,0.01,0.004,,0.018,0.058,0.443,779,0.024,"6,458",0.606,86000,1064,411,619,5,"5,223",2.33,0.927,0.034,0.693,0.561,0.774,0.091,0.164,0.131,0.501,0.442,,"34,741","394,643","174,124","127,671",10024,25.1,34557,21117,0.248,228,"2,931","110,355",-0.024,589,865,395,370,199,597,221,573,38,348.14,"""37187"""
"Tyrrell County, North Carolina","4,131","4,407",-0.063,"4,407",0.054,0.186,0.193,0.445,0.567,0.381,0.01,0.022,,0.02,0.09,0.495,307,0.046,"2,092",0.756,113100,1035,359,756,3,"1,539",2.26,0.84,0.087,0.678,0.554,0.744,0.076,0.147,0.17,0.476,0.566,,,"9,593",,"35,975",8293,29.5,32411,17736,0.244,77,462,"13,803",0.116,289,397,233,96,48,333,45,334,11.3,389.04,"""37177"""